state,year,quarter,district,registered_users,app_opens
Andhra Pradesh,2020,4,Visakhapatnam,2209658,124730170
Andhra Pradesh,2020,4,Prakasam,999462,52839846
Andhra Pradesh,2020,4,Anantapur,1295872,69562398
Andhra Pradesh,2020,4,Kurnool,1230466,60615045
Andhra Pradesh,2020,4,Guntur,1712940,81291172
Andhra Pradesh,2020,4,Krishna,1744028,81787771
Andhra Pradesh,2020,4,Spsr Nellore,1022944,54765443
Andhra Pradesh,2020,4,Vizianagaram,634462,35110885
Andhra Pradesh,2020,4,Ysr,959182,49596303
Andhra Pradesh,2020,4,West Godavari,1163179,51170162
Andhra Pradesh,2020,4,Chittoor,1631331,88232999
Andhra Pradesh,2021,1,East Godavari,1878769,91478749
Andhra Pradesh,2021,1,Srikakulam,782604,40590058
Andhra Pradesh,2021,1,Visakhapatnam,2368081,135908324
Andhra Pradesh,2021,1,Prakasam,1075936,56911479
Andhra Pradesh,2021,1,Anantapur,1394849,73375049
Andhra Pradesh,2021,1,Kurnool,1323411,65326230
Andhra Pradesh,2021,1,Guntur,1843237,92731167
Andhra Pradesh,2021,1,Krishna,1876458,92941553
Andhra Pradesh,2021,1,Spsr Nellore,1100541,60691988
Andhra Pradesh,2021,1,Vizianagaram,681621,37752539
Andhra Pradesh,2021,1,Ysr,1032689,53525815
Andhra Pradesh,2021,1,West Godavari,1254117,57392671
Andhra Pradesh,2021,1,Chittoor,1751420,99083825
Andhra Pradesh,2021,2,East Godavari,2006272,84705076
Andhra Pradesh,2021,2,Srikakulam,837958,43740255
Andhra Pradesh,2021,2,Visakhapatnam,2526830,114313154
Andhra Pradesh,2021,2,Prakasam,1151232,76850749
Andhra Pradesh,2021,2,Anantapur,1492738,104568606
Andhra Pradesh,2021,2,Kurnool,1415585,81894678
Andhra Pradesh,2021,2,Guntur,1968681,88248064
Andhra Pradesh,2021,2,Krishna,2002662,85771678
Andhra Pradesh,2021,2,Spsr Nellore,1176334,74049216
Andhra Pradesh,2021,2,Vizianagaram,729509,42684475
Andhra Pradesh,2021,2,Ysr,1103004,72255265
Andhra Pradesh,2021,2,West Godavari,1339377,65118788
Andhra Pradesh,2021,2,Chittoor,1870723,110505432
Andhra Pradesh,2021,3,East Godavari,2150622,103626560
Andhra Pradesh,2021,3,Srikakulam,902008,48622126
Andhra Pradesh,2021,3,Visakhapatnam,2707931,139540800
Andhra Pradesh,2021,3,Prakasam,1239147,91533813
Andhra Pradesh,2021,3,Anantapur,1606735,124985545
Andhra Pradesh,2021,3,Kurnool,1522196,101210508
Andhra Pradesh,2021,3,Guntur,2110878,106621413
Andhra Pradesh,2021,3,Krishna,2145423,104358295
Andhra Pradesh,2021,3,Spsr Nellore,1263550,90102349
Andhra Pradesh,2021,3,Vizianagaram,784444,46277311
Andhra Pradesh,2021,3,Ysr,1183377,86369956
Andhra Pradesh,2021,3,West Godavari,1436576,80244808
Andhra Pradesh,2021,3,Chittoor,2007011,135043395
Andhra Pradesh,2021,4,East Godavari,2294347,142536856
Andhra Pradesh,2021,4,Srikakulam,965335,61654215
Andhra Pradesh,2021,4,Visakhapatnam,2888774,188757640
Andhra Pradesh,2021,4,Prakasam,1325728,86410317
Andhra Pradesh,2021,4,Anantapur,1719437,120768682
Andhra Pradesh,2021,4,Kurnool,1628242,97379271
Andhra Pradesh,2021,4,Guntur,2252443,130920743
Andhra Pradesh,2021,4,Krishna,2288148,134436469
Andhra Pradesh,2021,4,Spsr Nellore,1349290,90814672
Andhra Pradesh,2021,4,Vizianagaram,839606,56101822
Andhra Pradesh,2021,4,Ysr,1262963,83534122
Andhra Pradesh,2021,4,West Godavari,1532898,100007280
Andhra Pradesh,2021,4,Chittoor,2141818,154395512
Andhra Pradesh,2022,1,East Godavari,2432305,87134562
Andhra Pradesh,2022,1,Srikakulam,1027283,46691467
Andhra Pradesh,2022,1,Visakhapatnam,3061324,88803090
Andhra Pradesh,2022,1,Prakasam,1408929,104851997
Andhra Pradesh,2022,1,Anantapur,1827094,155792533
Andhra Pradesh,2022,1,Kurnool,1729513,119653214
Andhra Pradesh,2022,1,Guntur,2387051,88844052
Andhra Pradesh,2022,1,Krishna,2423373,85871644
Andhra Pradesh,2022,1,Spsr Nellore,1431664,101671767
Andhra Pradesh,2022,1,Vizianagaram,892889,44804002
Andhra Pradesh,2022,1,Ysr,1339782,98878499
Andhra Pradesh,2022,1,West Godavari,1626039,87642475
Andhra Pradesh,2022,1,Chittoor,2270705,144146671
Andhra Pradesh,2022,2,East Godavari,2564165,93383888
Andhra Pradesh,2022,2,Srikakulam,1086164,51087942
Andhra Pradesh,2022,2,Visakhapatnam,3226029,93552701
Andhra Pradesh,2022,2,Prakasam,1487589,108172758
Andhra Pradesh,2022,2,Anantapur,1928213,181499094
Andhra Pradesh,2022,2,Kurnool,1825280,136447455
Andhra Pradesh,2022,2,Guntur,2514794,91997209
Andhra Pradesh,2022,2,Krishna,2552107,95341487
Andhra Pradesh,2022,2,Spsr Nellore,1509927,108755384
Andhra Pradesh,2022,2,Vizianagaram,943242,50230853
Andhra Pradesh,2022,2,Ysr,1412848,106157470
Andhra Pradesh,2022,2,West Godavari,1714357,103338893
Andhra Pradesh,2022,2,Chittoor,2392549,158771722
Andhra Pradesh,2022,3,East Godavari,2702234,85780890
Andhra Pradesh,2022,3,Srikakulam,1147016,46323107
Andhra Pradesh,2022,3,Visakhapatnam,3397514,87888969
Andhra Pradesh,2022,3,Prakasam,1567520,114185009
Andhra Pradesh,2022,3,Anantapur,2030824,181038520
Andhra Pradesh,2022,3,Kurnool,1924127,143715547
Andhra Pradesh,2022,3,Guntur,2647100,91146114
Andhra Pradesh,2022,3,Krishna,2685215,86220959
Andhra Pradesh,2022,3,Spsr Nellore,1588875,105928407
Andhra Pradesh,2022,3,Vizianagaram,995141,46767889
Andhra Pradesh,2022,3,Ysr,1487140,107976611
Andhra Pradesh,2022,3,West Godavari,1805967,97509407
Andhra Pradesh,2022,3,Chittoor,2517657,162524274
Andhra Pradesh,2022,4,East Godavari,2835087,173720880
Andhra Pradesh,2022,4,Srikakulam,1204785,72666058
Andhra Pradesh,2022,4,Visakhapatnam,3566854,208604256
Andhra Pradesh,2022,4,Prakasam,1642503,94432083
Andhra Pradesh,2022,4,Anantapur,2128066,136685634
Andhra Pradesh,2022,4,Kurnool,2018290,105333688
Andhra Pradesh,2022,4,Guntur,2774365,144773169
Andhra Pradesh,2022,4,Krishna,2813645,156902257
Andhra Pradesh,2022,4,Spsr Nellore,1663684,103101986
Andhra Pradesh,2022,4,Vizianagaram,1044490,64406405
Andhra Pradesh,2022,4,Ysr,1556901,93975668
Andhra Pradesh,2022,4,West Godavari,1893310,129116752
Andhra Pradesh,2022,4,Chittoor,2636036,189655966
Andhra Pradesh,2023,1,East Godavari,2965296,98931582
Andhra Pradesh,2023,1,Srikakulam,1263204,48743038
Andhra Pradesh,2023,1,Visakhapatnam,3732544,107253885
Andhra Pradesh,2023,1,Prakasam,1719910,112502189
